P0,P1,P2,P3,P4,P5,Q0,Q1,Q2,Q3,Q4,Q5,V0,V1,V2,V3,V4,V5,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5
-0.5000012,-0.73340297,-0.5902353,0.60710174,0.58361757,0.5867728,-0.23884313,-0.41155866,-0.7185376,0.60710174,0.58361757,0.5867728,1.05,1.05,1.07,0.99765027,0.9994904,1.0155301,0.0,-0.7771777,-1.1398314,-2.0391254,-2.705251,-2.700828
-0.50000125,-0.74216944,-0.60073197,0.60390323,0.60017484,0.5915658,-0.24484047,-0.41725442,-0.72898865,0.60390323,0.60017484,0.5915658,1.05,1.05,1.07,0.99767387,0.99783736,1.0148821,0.0,-0.7575871,-1.1176,-2.0263,-2.7308164,-2.6996317
-0.5000022,-0.8351802,-0.7111396,0.63431627,0.6554763,0.69821566,-0.29559937,-0.49540737,-0.8321059,0.63431627,0.6554763,0.69821566,1.05,1.05,1.07,0.9937281,0.9900209,1.0057036,0.0,-0.6060672,-0.87908727,-2.0121596,-2.7865813,-2.7838278
-0.5000014,-0.7531492,-0.6142816,0.6238083,0.5705018,0.6251252,-0.2454464,-0.43079832,-0.741609,0.6238083,0.5705018,0.6251252,1.05,1.05,1.07,0.99621886,0.9998422,1.0128306,0.0,-0.76005656,-1.0998857,-2.058037,-2.6779416,-2.755465
-0.5000013,-0.7570468,-0.63178384,0.57698536,0.56513226,0.6985141,-0.22319718,-0.42233232,-0.79873574,0.57698536,0.56513226,0.6985141,1.05,1.05,1.07,1.0003519,0.9997449,1.0073764,0.0,-0.80999404,-1.2704087,-2.0069458,-2.762439,-3.0469217
-0.5000025,-0.7864463,-0.6412483,0.69241846,0.57612056,0.60678345,-0.2849561,-0.4736932,-0.7260571,0.69241846,0.57612056,0.60678345,1.05,1.05,1.07,0.9898667,0.99859124,1.0140222,0.0,-0.6617341,-0.8399555,-2.124433,-2.5787334,-2.5251343
-0.50000125,-0.74058867,-0.59613895,0.5996561,0.6282574,0.5611315,-0.25256532,-0.41488284,-0.717443,0.5996561,0.6282574,0.5611315,1.05,1.05,1.07,0.9977129,0.9956837,1.0166887,0.0,-0.7343936,-1.0808474,-2.0102108,-2.7603137,-2.6109257
-0.50000143,-0.76476264,-0.6321201,0.6049395,0.59000295,0.6525997,-0.24590811,-0.43472612,-0.77158433,0.6049395,0.59000295,0.6525997,1.05,1.05,1.07,0.99756336,0.99773246,1.0104208,0.0,-0.75135887,-1.1256021,-2.0256708,-2.7368128,-2.842039
-0.50000143,-0.7630227,-0.62551,0.6132298,0.60763156,0.6181526,-0.25554678,-0.43532452,-0.75176305,0.6132298,0.60763156,0.6181526,1.05,1.05,1.07,0.9966335,0.99649787,1.0127221,0.0,-0.7262433,-1.0648754,-2.0280366,-2.734603,-2.7234483
-0.50000274,-0.81661946,-0.67468894,0.6676957,0.6799332,0.58632827,-0.31615067,-0.48964807,-0.7540807,0.6676957,0.6799332,0.58632827,1.05,1.05,1.07,0.9905895,0.98909277,1.0137631,0.0,-0.55948806,-0.723129,-2.0444944,-2.7310019,-2.4192836
