P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23
-0.67572856,-0.652611,1.7800826,0.6697891,0.57717687,1.303861,0.25144228,1.419205,1.6239523,1.6256839,6.793529e-09,4.9917697e-09,0.5541979,1.9332783,1.4066324,-0.68869364,0.0,-0.8715461,1.5298347,1.2392168,-4.0,-2.9999998,-6.5935006,0.0,-0.334451,-0.2169278,0.32067847,0.12858,0.13611934,1.2707556,-0.3694931,0.28239194,0.34096307,0.3437708,5.7059824e-09,5.223453e-10,0.1000842,-1.3695158,0.077778384,-0.6062381,2.822876e-09,-0.009866532,0.3280378,0.23982076,-0.16950779,0.3806004,-0.70391124,0.0,1.0382032,1.0383539,0.9686697,0.9852192,1.0133765,1.0038277,0.96698594,0.95,0.970605,1.0138208,1.0213444,1.0112756,1.02,1.0499997,1.0358818,1.0438116,1.0471538,1.0499998,1.0397592,1.0445666,1.05,1.0499998,1.05,1.00493,-8.238709,-8.364887,-6.3241177,-10.670079,-10.624031,-13.284144,-19.504776,-18.158398,-8.618387,-10.355317,-2.5198264,-1.9148555,4.9158038e-09,1.6922388,10.7185,9.851437,14.334648,15.822046,8.778496,9.447636,16.497768,22.162683,10.489416,4.666342
-0.42590088,-0.57076466,1.6870382,0.7138688,0.6817679,1.1940619,0.38008472,1.4278604,1.7073756,1.6290746,1.0271549e-08,2.1801592e-09,0.13312149,1.8193791,1.0064082,-0.6931688,0.0,-0.7609135,1.7540288,1.2539111,-4.0,-3.0,-6.517223,3.5899876e-09,-0.35628682,-0.25273585,0.36297008,0.13307783,0.12861913,1.280881,-0.3677596,0.3072601,0.30285677,0.34552327,5.3286552e-11,0.0,0.20725094,-1.3052768,-0.04193751,-0.61113477,5.2711666e-09,-0.030634686,0.34661773,0.24436592,-0.029701024,0.38531741,-0.6620876,3.3260583e-09,1.0498276,1.0498075,0.9696862,0.99236083,1.0227716,1.0109855,0.96757686,0.95002025,0.97529775,1.018661,1.0236921,1.0141271,1.02,1.05,1.0385216,1.0449635,1.0476604,1.0499998,1.0400034,1.0445874,1.05,1.0499997,1.05,1.0067688,-10.519291,-10.641237,-6.9252872,-12.300751,-12.415664,-14.205467,-21.495375,-19.659472,-9.5145645,-11.292034,-2.9019015,-2.4198072,0.0,1.5213106,10.727505,9.664284,14.151869,15.597033,8.312155,8.976101,16.366293,22.00698,10.01904,4.43751
-0.4274493,-0.5169273,1.6988378,0.61291575,0.6885493,1.3128195,0.26208374,1.5195901,1.5819949,1.8922347,0.0,0.0,0.13832085,1.8021351,0.9672979,-0.7130425,0.0,-0.8544753,1.6753374,1.1296602,-4.0,-2.9999998,-6.3576074,0.0,-0.34997508,-0.23654562,0.34300855,0.13509043,0.11386487,1.2741026,-0.36833808,0.2906869,0.3314967,0.3228194,7.493496e-10,2.8843283e-09,0.12237583,-1.3650807,-0.008407716,-0.62037647,3.939122e-09,-0.01750024,0.34115815,0.24171524,-0.10049237,0.38231784,-0.7028936,4.833043e-10,1.0421375,1.042138,0.9672396,0.9861821,1.0197117,1.0085546,0.96664906,0.95001024,0.97184026,1.0175787,1.0223545,1.0124888,1.02,1.0499997,1.0371268,1.0443441,1.0473506,1.0499998,1.0398015,1.0445652,1.05,1.0499998,1.05,1.0042152,-10.948471,-11.058036,-6.8107605,-12.073814,-12.967559,-15.104654,-21.082829,-19.713734,-9.291443,-11.9016485,-2.8934112,-2.4784288,0.0,1.7412235,11.134533,10.040106,14.630501,16.0971,8.671856,9.224528,16.86816,22.5071,10.158642,4.751692
-0.5433063,-0.6559508,1.6931915,0.6922078,0.65373355,1.3513703,0.22431536,1.56846,1.6700861,1.5875003,9.7609165e-09,6.2280296e-09,0.4920627,1.6385387,1.333726,-0.58093655,1.6229152e-09,-1.0794232,1.7771317,1.1876843,-4.0,-3.0,-6.6,7.4070694e-10,-0.30043748,-0.23543702,0.35082963,0.14831081,0.13811052,1.2771552,-0.39188945,0.32436112,0.31437245,0.39996448,1.5333891e-09,0.0,0.18109934,-1.2971565,0.06427386,-0.6192286,1.8325448e-10,-0.019597396,0.30569375,0.2338662,-0.063881606,0.38802508,-0.6102131,0.0,1.0499678,1.05,0.97193253,0.9893054,1.0193496,1.0065149,0.97149515,0.9500193,0.9742047,1.0143249,1.0232407,1.0131847,1.02,1.05,1.0378499,1.0453632,1.0478783,1.0499994,1.0412256,1.0451255,1.0499997,1.0499986,1.05,1.009206,-9.384472,-9.571209,-6.317271,-11.404913,-11.569735,-13.943705,-20.206264,-19.007387,-8.91166,-10.795979,-2.5040946,-2.109489,7.2501303e-09,2.132956,11.050583,10.0875635,14.759702,16.313795,8.756073,9.427563,16.951555,22.619368,10.458922,4.841183
-0.10876787,-0.23048681,1.7866323,0.6147308,0.6697128,1.2304327,0.34280896,1.4029906,1.609971,1.7204007,5.2963496e-09,3.3730267e-09,0.29962242,1.5963373,0.9516398,-0.57818985,1.001823e-08,-0.9212063,1.5534016,1.0307698,-4.0,-2.9999998,-6.6,0.0,-0.31547555,-0.27229077,0.31360862,0.14924566,0.117188394,1.2751358,-0.36422578,0.32132187,0.34091526,0.32001352,1.0584295e-09,0.0,0.23121746,-1.2724798,-0.008450396,-0.62860674,1.2864381e-08,-0.015374538,0.31668797,0.25399008,-0.0030126423,0.3883699,-0.6348735,9.014577e-09,1.0496752,1.0497444,0.97539294,0.9893955,1.0252646,1.0145944,0.96866864,0.9500547,0.9741361,1.0213953,1.0241007,1.0146205,1.02,1.05,1.0391086,1.0457077,1.0479615,1.05,1.0410339,1.0448513,1.05,1.05,1.05,1.0103213,-13.103949,-13.202501,-7.6703105,-13.386655,-14.232273,-15.65832,-21.760588,-20.055721,-9.820446,-12.192058,-2.8193104,-2.4869874,8.76528e-09,2.257134,11.581907,10.530121,15.124853,16.63739,9.373322,9.966158,17.350702,22.98605,10.877091,4.7579412
-0.28771108,-0.41125268,1.4622421,0.6929263,0.6726602,1.110255,0.2766294,1.5691291,1.6172097,1.6709157,4.836261e-09,3.8252175e-09,0.20259066,1.8318537,1.0818808,-0.5791467,0.0,-1.2913864,1.788377,1.0983243,-3.9999993,-2.9999976,-6.1233716,5.080104e-10,-0.3336584,-0.24180977,0.36954468,0.13069132,0.13158366,1.2722611,-0.36787337,0.30569568,0.3474723,0.32487664,3.961116e-09,0.0,0.23248692,-1.3002322,-0.01932498,-0.6032194,0.0,-0.035426136,0.33538046,0.25016648,-0.045631364,0.38552508,-0.6482316,6.6124795e-09,1.0497583,1.0498849,0.9682044,0.9914449,1.0231845,1.013956,0.96747494,0.95,0.9731246,1.0201705,1.0237335,1.0139098,1.02,1.05,1.0381159,1.0448743,1.047659,1.05,1.0401688,1.0445597,1.05,1.05,1.05,1.0062851,-11.1042,-11.249466,-6.0052905,-12.329704,-12.781629,-14.08674,-21.0621,-19.641565,-9.170245,-11.314251,-2.7314506,-2.378476,6.830394e-10,1.9086733,11.506778,10.240703,15.184902,16.81747,8.609431,9.067992,17.41307,23.079857,9.920341,5.217024
-0.5858922,-0.6875756,1.6404065,0.6785508,0.6447373,1.2891824,0.36263645,1.4283829,1.7125627,1.9041415,4.3145416e-09,1.0492206e-09,0.42534178,1.787198,1.4928066,-0.7034554,9.059906e-12,-0.9871026,1.5093694,1.0851475,-4.0,-2.9999995,-6.5969086,3.0355751e-09,-0.3553297,-0.26914436,0.32892615,0.12833852,0.11949349,1.2901614,-0.37083167,0.302663,0.3079332,0.33586487,2.7739406e-09,0.0,0.2132655,-1.3308045,-0.0044048503,-0.6264695,0.0,-0.014871031,0.35623875,0.24494913,-0.058611706,0.38371724,-0.6753272,9.888709e-10,1.0492692,1.0496527,0.9735653,0.9930267,1.0235077,1.0097226,0.96703106,0.95,0.97565705,1.018895,1.0237069,1.0140358,1.02,1.05,1.0380876,1.0446954,1.0474882,1.0499998,1.039656,1.0444568,1.05,1.0499998,1.05,1.0084043,-9.496825,-9.590347,-6.3067255,-11.471691,-11.808435,-14.198115,-21.166883,-19.443834,-9.111599,-11.333981,-2.7102232,-2.208342,0.0,1.8768082,10.931624,10.107643,14.663909,16.150797,9.081018,9.748805,16.81713,22.48218,10.723191,4.7543936
0.031517267,0.0034797192,1.5149542,0.7096519,0.62536645,1.1337459,0.29660502,1.4653249,1.6435778,1.6169095,1.5827865e-08,8.269727e-09,0.100344434,1.5520182,1.1283035,-0.55331194,9.191782e-09,-0.8739924,1.5177776,1.0502791,-4.0,-2.9999998,-6.5717077,4.196763e-10,-0.26241463,-0.18808338,0.3633924,0.14743476,0.11304337,1.2610961,-0.3693577,0.29020238,0.30845216,0.36622277,4.631221e-09,2.7531386e-09,0.138586,-1.3825872,0.004451018,-0.61773294,3.5626293e-09,-0.02338267,0.35003594,0.24832416,-0.11714008,0.3811626,-0.70504475,1.7186403e-09,1.0389669,1.0385944,0.9649054,0.9832,1.0167812,1.0060568,0.9673042,0.95004994,0.9718105,1.0148823,1.0224832,1.0124763,1.02,1.05,1.0368192,1.0440259,1.0472238,1.05,1.0393623,1.044337,1.05,1.05,1.05,1.0038779,-14.2940445,-14.597342,-7.5720863,-14.550219,-14.864751,-15.803623,-21.884327,-20.408033,-10.186906,-12.385956,-3.012516,-2.678379,2.6395022e-09,1.9614292,10.999193,10.054622,14.581383,16.05905,9.001111,9.631846,16.724958,22.426722,10.566971,4.3965883
-0.33659256,-0.5170416,1.7098777,0.6865808,0.56800663,1.1249115,0.12242445,1.6509074,1.6900834,1.7928979,2.2882223e-09,8.835286e-09,0.3291386,1.7408168,0.87895155,-0.5961304,4.2543413e-09,-0.916753,1.6761799,1.1841767,-4.0,-3.0,-6.375367,4.6512185e-09,-0.33954734,-0.25415474,0.317696,0.121906884,0.12001851,1.2753909,-0.35464114,0.30473328,0.31492105,0.34435248,6.423801e-09,0.0,0.24178062,-1.304802,0.040543646,-0.6378366,0.0,-0.003556434,0.32816902,0.21451125,-0.06484383,0.38611206,-0.6105174,1.480639e-09,1.049502,1.05,0.9755635,0.99451077,1.023961,1.0130893,0.9664868,0.95,0.9761878,1.0198673,1.0241684,1.0145476,1.02,1.05,1.0379932,1.0452096,1.0477198,1.0499995,1.0408,1.0452176,1.0499998,1.0499986,1.05,1.0096236,-10.5243435,-10.639745,-6.5784063,-12.059857,-12.08659,-13.915381,-20.054455,-19.216482,-9.233606,-11.148212,-2.639379,-2.291476,7.1552693e-09,2.0594125,11.475879,10.323366,14.930884,16.447702,8.87779,9.360071,17.189804,22.826157,10.301292,5.0176597
-0.3889479,-0.48274684,1.5603414,0.7257007,0.7042453,1.2540964,0.20177276,1.5450767,1.6526346,1.5620269,1.2657285e-08,6.0150622e-09,0.57530606,1.8995333,0.8854202,-0.6825132,8.898825e-09,-0.9424703,1.6890996,1.0832088,-4.0,-2.9999998,-6.450635,3.4123957e-09,-0.3881015,-0.26603013,0.3522896,0.14089267,0.13079517,1.2586875,-0.35555178,0.33592924,0.3108091,0.39312932,0.0,0.0,0.22468214,-1.3305776,-0.024841866,-0.6292109,0.0,0.0050448254,0.3050593,0.21316965,-0.07421832,0.38414225,-0.6240038,8.410871e-09,1.0498593,1.05,0.9699557,0.9906966,1.0216787,1.0128553,0.97095513,0.9500143,0.97450465,1.0172035,1.0229018,1.0136659,1.02,1.05,1.0378886,1.0450134,1.0475339,1.05,1.0411702,1.0454078,1.05,1.05,1.05,1.006225,-10.314213,-10.49221,-5.8101864,-11.9336405,-12.169452,-13.9947195,-19.908844,-18.793957,-8.878379,-10.874013,-2.4827,-2.0633574,6.787598e-09,2.2076674,11.957048,10.75087,15.435405,16.954927,9.332696,9.870959,17.679361,23.32364,10.75561,5.6045847
