P0,P1,P2,P3,P4,P5,Q0,Q1,Q2,Q3,Q4,Q5,V0,V1,V2,V3,V4,V5,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5
-0.5001729,-0.80464846,-0.66727734,0.6774182,0.59414387,0.6459243,-0.27136734,-0.45339695,-0.69587314,0.68663085,0.5604319,0.5738149,1.05,1.05,1.07,0.9907741,1.0008006,1.0168238,3.9058923e-10,-0.6482248,-0.8542278,-2.0953283,-2.6350045,-2.6296349
-0.5002831,-0.8382945,-0.70891446,0.65101326,0.67499304,0.6619645,-0.27497035,-0.44766986,-0.74548805,0.6247985,0.641241,0.5924965,1.05,1.05,1.07,0.9951587,0.99348867,1.0140642,0.0,-0.56767553,-0.784889,-2.0218334,-2.7738628,-2.6354325
-0.5000762,-0.7433541,-0.5980705,0.6254088,0.59543914,0.57270455,-0.27020457,-0.43502045,-0.7365634,0.6081512,0.65451324,0.572522,1.05,1.05,1.07,0.9965308,0.9927745,1.0153642,6.6539646e-10,-0.74319696,-1.0531627,-2.0529199,-2.6877747,-2.6085405
-0.50021076,-0.8229109,-0.6919157,0.65116155,0.6453953,0.66092783,-0.2991404,-0.5331921,-0.7860515,0.6961374,0.630792,0.65837,1.05,1.05,1.07,0.9887184,0.9923124,1.0091876,0.0,-0.6091481,-0.84443396,-2.0394506,-2.7385736,-2.6697488
-0.5002992,-0.8086195,-0.66733193,0.66812456,0.6500751,0.60216403,-0.2816768,-0.48996028,-0.7894371,0.6771679,0.573287,0.6891478,1.05,1.05,1.07,0.9910756,0.99765426,1.0078433,0.0,-0.5968411,-0.7812244,-2.0611053,-2.6999364,-2.4886715
-0.5,-0.76503956,-0.6311739,0.5825321,0.6457764,0.61672264,-0.30985627,-0.5675253,-0.8194779,0.6918981,0.69261944,0.66498756,1.05,1.05,1.07,0.9883184,0.9861841,1.0076276,3.0609965e-10,-0.71848476,-1.1001529,-1.9779661,-2.8239362,-2.7560737
-0.5,-0.75054157,-0.61174023,0.5887452,0.63353145,0.5906244,-0.24486472,-0.4173934,-0.7113173,0.61878335,0.58500415,0.5771786,1.05,1.05,1.07,0.99661857,0.9993628,1.0162404,2.322197e-10,-0.73545736,-1.1064085,-1.9937537,-2.7917256,-2.6978025
-0.5,-0.7160996,-0.5696798,0.6010645,0.5780056,0.5617333,-0.30527893,-0.47814626,-0.7481755,0.6589415,0.6672191,0.58408934,1.05,1.05,1.07,0.99164534,0.990571,1.014164,2.3009776e-09,-0.8046633,-1.1771144,-2.040149,-2.6991355,-2.670864
-0.50025123,-0.78632665,-0.6426828,0.66622,0.6158361,0.5942518,-0.27670512,-0.46763077,-0.82770544,0.5950652,0.6646984,0.6853876,1.05,1.05,1.07,0.9971965,0.9899361,1.0066146,0.0,-0.65083313,-0.85941845,-2.078686,-2.6591768,-2.520038
-0.5181938,-0.8263599,-0.73726803,0.6824993,0.6828773,0.65285707,-0.32256007,-0.50633776,-0.7554661,0.67995375,0.6828407,0.5905217,1.05,1.05,1.07,0.989453,0.9885665,1.0133934,0.0,-0.63028955,-0.6792444,-2.1166282,-2.7834167,-2.5750206
