P0,P1,P2,P3,P4,P5,Q0,Q1,Q2,Q3,Q4,Q5,V0,V1,V2,V3,V4,V5,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5
-0.5021418,-0.8213464,-0.6925981,0.68104136,0.6023832,0.67677283,-0.2952414,-0.50048333,-0.79074734,0.68101656,0.6023989,0.6763491,1.05,1.05,1.07,0.9903039,0.99493754,1.0082444,0.0,-0.6344553,-0.82423055,-2.096947,-2.6572018,-2.684357
-0.501083,-0.7046428,-0.56022525,0.5796833,0.5637384,0.58019334,-0.21332121,-0.3834667,-0.7043347,0.5791881,0.56482464,0.5793766,1.05,1.05,1.07,1.0005591,1.001967,1.0164367,6.104648e-09,-0.8464608,-1.2781531,-2.0256028,-2.7136984,-2.790306
-0.50028014,-0.7690573,-0.64422643,0.5842986,0.58319116,0.69618654,-0.2352157,-0.43297976,-0.8037597,0.5846775,0.5834322,0.6955925,1.05,1.05,1.07,0.9994409,0.99789554,1.0072474,7.0870816e-09,-0.7756335,-1.2065175,-2.0030553,-2.7717881,-3.0054698
-0.50045836,-0.78411937,-0.6434669,0.62612396,0.67476475,0.572693,-0.2897808,-0.45559168,-0.74364114,0.6261299,0.6743519,0.57288426,1.05,1.05,1.07,0.9945406,0.99047744,1.0149832,2.349168e-09,-0.6310619,-0.88579744,-2.0082624,-2.780248,-2.5067616
-0.5,-0.81408566,-0.685701,0.6485023,0.60617214,0.68980247,-0.2805242,-0.4829916,-0.8046519,0.64855933,0.60622954,0.6896273,1.05,1.05,1.07,0.9932257,0.9948341,1.0072131,5.135834e-10,-0.6574525,-0.92718625,-2.0541968,-2.7058668,-2.7880929
-0.5361751,-0.8110217,-0.7384604,0.68862617,0.66141504,0.67395955,-0.31240448,-0.54429555,-0.8110432,0.68712056,0.6622624,0.67558956,1.05,1.05,1.07,0.988996,0.989017,1.0074172,7.075846e-09,-0.74756354,-0.8141299,-2.2035952,-2.8293302,-2.7439861
-0.5002528,-0.78848654,-0.64286846,0.66218436,0.64354825,0.5701038,-0.29587892,-0.46706784,-0.72635114,0.6613459,0.64378947,0.57049334,1.05,1.05,1.07,0.9917013,0.99311614,1.0157014,1.7963648e-09,-0.6178789,-0.8097845,-2.0574353,-2.694334,-2.4387808
-0.5002145,-0.7590025,-0.6247798,0.5952259,0.6046596,0.63670933,-0.2455807,-0.42900872,-0.76582694,0.594875,0.60486555,0.63659805,1.05,1.05,1.07,0.99829435,0.99678755,1.011402,0.0,-0.75168073,-1.133415,-2.0074155,-2.763538,-2.8140306
-0.50021017,-0.7589395,-0.6133733,0.64302075,0.6131187,0.5689362,-0.27030027,-0.44018668,-0.7142938,0.6425512,0.6130173,0.5682495,1.05,1.05,1.07,0.99397045,0.99646294,1.0163463,8.0174206e-10,-0.6922226,-0.9517193,-2.0588114,-2.6806126,-2.5280015
-0.50016665,-0.7538404,-0.6142058,0.59948325,0.6322243,0.5871043,-0.2567128,-0.42495477,-0.7387822,0.59959865,0.63214785,0.5867904,1.05,1.05,1.07,0.9975767,0.99484754,1.014677,1.4682711e-09,-0.72107714,-1.0670455,-2.0031276,-2.7752986,-2.6612544
-0.50051904,-0.8463044,-0.72485876,0.61531657,0.6983467,0.6952728,-0.30447987,-0.4984789,-0.8482857,0.61639774,0.698174,0.6954054,1.05,1.05,1.07,0.99474746,0.9861488,1.0052055,0.0,-0.5763039,-0.86053836,-1.968807,-2.8677766,-2.773577
-0.5001019,-0.7618048,-0.63341737,0.57757926,0.60623944,0.6629852,-0.23867944,-0.42595178,-0.7873671,0.5775015,0.60602736,0.66225934,1.05,1.05,1.07,0.9998059,0.99641794,1.009395,2.6434959e-09,-0.7660526,-1.1922019,-1.9878081,-2.7980416,-2.917878
-0.5,-0.8259626,-0.70140624,0.62531066,0.65325415,0.69151807,-0.2890434,-0.48603997,-0.8267288,0.62543863,0.6531264,0.6916859,1.05,1.05,1.07,0.99462944,0.9905044,1.0062615,5.9476496e-10,-0.6256573,-0.91723937,-2.0044646,-2.793923,-2.7970653
-0.5,-0.78191215,-0.6447319,0.63954884,0.60702884,0.62822753,-0.271042,-0.45650572,-0.7574865,0.63939506,0.6074666,0.6278445,1.05,1.05,1.07,0.9941884,0.9959966,1.0119306,0.0,-0.6892752,-0.9678819,-2.0522268,-2.6986825,-2.6748798
-0.5000356,-0.78187853,-0.64724135,0.6101609,0.6438777,0.622997,-0.27035746,-0.44878075,-0.7704289,0.6097922,0.64382404,0.6224387,1.05,1.05,1.07,0.9963695,0.99291736,1.0117418,0.0,-0.68146974,-1.0014441,-2.0035765,-2.7835317,-2.6968088
-0.5,-0.74882996,-0.6095227,0.61120903,0.592588,0.6067935,-0.24677151,-0.4249462,-0.7364366,0.6107855,0.5924053,0.60615665,1.05,1.05,1.07,0.9971029,0.9982649,1.013872,2.618134e-09,-0.7531944,-1.1036624,-2.034863,-2.7151976,-2.7242427
-0.50012493,-0.8180091,-0.6857302,0.6742152,0.59986335,0.6733624,-0.29057103,-0.4934132,-0.78757674,0.6738782,0.5988891,0.6727068,1.05,1.05,1.07,0.9909341,0.9954476,1.0086237,1.6362965e-09,-0.63545614,-0.850571,-2.0814316,-2.6518874,-2.6875958
-0.5000025,-0.7659359,-0.61985916,0.6494698,0.6165229,0.57076854,-0.27568203,-0.44671047,-0.71668154,0.64866585,0.61606485,0.5696428,1.05,1.05,1.07,0.993345,0.9960107,1.0161561,0.0,-0.67672133,-0.92063326,-2.0610566,-2.6766205,-2.5141854
-0.5,-0.8002906,-0.6592939,0.6858028,0.58164686,0.63802415,-0.28573135,-0.48170716,-0.7520982,0.68655366,0.5806677,0.637917,1.05,1.05,1.07,0.9902624,0.99763703,1.0116395,0.0,-0.65168244,-0.84961724,-2.1127665,-2.5981836,-2.6069763
-0.5001089,-0.78844494,-0.6528369,0.63476485,0.62950224,0.6252939,-0.27781847,-0.46081635,-0.7644154,0.63447887,0.62909883,0.6249021,1.05,1.05,1.07,0.99434614,0.99396324,1.0117699,3.7926434e-10,-0.6679851,-0.9440112,-2.0353093,-2.7307327,-2.6573052
-0.547896,-0.8260205,-0.7524259,0.68245566,0.697757,0.6830074,-0.32243624,-0.5573921,-0.83451706,0.68319607,0.69701546,0.68357277,1.05,1.05,1.07,0.98887485,0.98554343,1.0061411,1.1619925e-10,-0.762076,-0.8424708,-2.2192016,-2.940723,-2.7872543
-0.5001339,-0.84300226,-0.7205939,0.62330306,0.68540007,0.69555223,-0.30286768,-0.49856582,-0.8432224,0.6234533,0.6852307,0.6953455,1.05,1.05,1.07,0.9943197,0.9872809,1.0054061,1.480937e-09,-0.5824386,-0.8580305,-1.983862,-2.8391888,-2.7720037
-0.5,-0.7547749,-0.6187109,0.5639403,0.67932457,0.57967204,-0.2576191,-0.41687003,-0.75469077,0.56429285,0.6788295,0.57941675,1.05,1.05,1.07,1.0000498,0.99092114,1.0144614,2.1092594e-09,-0.7088988,-1.1004118,-1.9444435,-2.8721437,-2.6811934
-0.5,-0.8256299,-0.68383247,0.68093437,0.67416084,0.5989928,-0.32096478,-0.49924555,-0.75774455,0.6801694,0.6737925,0.5985928,1.05,1.05,1.07,0.98935413,0.98948514,1.012804,0.0,-0.547995,-0.6852792,-2.065834,-2.7020664,-2.4305427
-0.5,-0.8088194,-0.6806809,0.6383129,0.6119187,0.6850941,-0.27695733,-0.4765449,-0.8039992,0.6381484,0.6119118,0.68491805,1.05,1.05,1.07,0.9941025,0.99450076,1.0074877,0.0,-0.6650232,-0.9542012,-2.0414634,-2.7256646,-2.7997668
-0.5002109,-0.78368235,-0.6541167,0.5841202,0.66046405,0.6406069,-0.26542264,-0.4433881,-0.79215866,0.5841447,0.6604861,0.64038247,1.05,1.05,1.07,0.99841815,0.9913307,1.0101252,3.4903287e-09,-0.68865216,-1.0582091,-1.9663692,-2.845623,-2.7845156
-0.50000817,-0.775424,-0.6361828,0.6388261,0.6067596,0.6153103,-0.2692974,-0.45174265,-0.7476103,0.6387283,0.60690224,0.6147409,1.05,1.05,1.07,0.9942898,0.9962639,1.012931,3.4249723e-09,-0.6927172,-0.9710653,-2.0540192,-2.693768,-2.6478076
-0.50006354,-0.7741332,-0.63631153,0.6244227,0.6236077,0.61048126,-0.26895818,-0.44695264,-0.7515058,0.6259552,0.623836,0.6095281,1.05,1.05,1.07,0.9953039,0.9949232,1.0131316,0.0,-0.68942595,-0.9861812,-2.0314465,-2.739808,-2.6554005
-0.5974698,-0.75555533,-0.6921618,0.692187,0.6999896,0.5884587,-0.30476564,-0.5496537,-0.76562166,0.69381225,0.6999896,0.5889258,1.05,1.05,1.07,0.9882822,0.98676014,1.0134469,4.0988626e-09,-1.042243,-1.1088823,-2.4194038,-3.117077,-2.832598
-0.50011516,-0.7704081,-0.6313879,0.6039859,0.6644042,0.5806585,-0.27349108,-0.43892416,-0.74680007,0.60418963,0.6640129,0.58055466,1.05,1.05,1.07,0.996687,0.9917377,1.0145833,1.1760592e-09,-0.6723758,-0.98543334,-1.9911413,-2.8037157,-2.594958
