P0,P1,P2,P3,P4,P5,Q0,Q1,Q2,Q3,Q4,Q5,V0,V1,V2,V3,V4,V5,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5
-0.50060534,-0.7405299,-0.5938878,0.6047225,0.6239632,0.56002,-0.2532661,-0.417554,-0.71555656,0.60224634,0.62405723,0.56002,1.05,1.05,1.07,0.9974317,0.9960038,1.016783,0.0,-0.73245513,-1.0743668,-2.0177057,-2.7550995,-2.5989137
-0.5,-0.81177163,-0.6812343,0.62672216,0.66327,0.64744335,-0.29047596,-0.47517517,-0.7950679,0.62598115,0.66230094,0.6468766,1.05,1.05,1.07,0.9944489,0.9903652,1.00957,0.0,-0.6236475,-0.8935916,-2.0031114,-2.7889154,-2.6772346
-0.5415591,-0.78268844,-0.70664215,0.69372267,0.6467298,0.63176686,-0.30454165,-0.52662474,-0.77205086,0.6940675,0.6463544,0.63175005,1.05,1.05,1.07,0.98871213,0.99128133,1.0108845,0.0,-0.8091905,-0.848457,-2.2421205,-2.821459,-2.68095
-0.5,-0.7621449,-0.6286125,0.5772507,0.6433541,0.6186105,-0.25156632,-0.42533696,-0.7679198,0.57835305,0.6432824,0.618572,1.05,1.05,1.07,0.9993287,0.9935312,1.0120647,1.0456741e-09,-0.7279439,-1.1195086,-1.9739203,-2.8314824,-2.780158
-0.5,-0.8157495,-0.6857068,0.64409864,0.62662774,0.6746693,-0.28640196,-0.48264542,-0.8011355,0.6439054,0.62682164,0.6752911,1.05,1.05,1.07,0.9933347,0.9931948,1.0080092,1.9912123e-09,-0.6351567,-0.90383905,-2.0383787,-2.7292378,-2.7408412
-0.5,-0.7825192,-0.65663856,0.6016764,0.5967997,0.6893957,-0.25069642,-0.44725415,-0.80336237,0.6017372,0.5966693,0.6896456,1.05,1.05,1.07,0.99766773,0.9964991,1.0074722,6.187558e-10,-0.7341661,-1.1180108,-2.014695,-2.761943,-2.917681
-0.50057507,-0.75399595,-0.61673003,0.61547536,0.5817565,0.6255565,-0.24618892,-0.42870343,-0.7472389,0.61538875,0.5816106,0.62607443,1.05,1.05,1.07,0.9967868,0.99890715,1.0125471,5.4652394e-09,-0.75379336,-1.1070771,-2.04107,-2.7062836,-2.7606063
-0.5,-0.7946418,-0.6582874,0.6251632,0.6484666,0.62472546,-0.28229284,-0.46095055,-0.7738943,0.6266999,0.65069246,0.62507796,1.05,1.05,1.07,0.99482876,0.9921429,1.011372,4.0382146e-11,-0.6469439,-0.92843235,-2.015854,-2.7669196,-2.651455
-0.5,-0.78638864,-0.64501375,0.6649245,0.63759774,0.5747135,-0.29455814,-0.46882197,-0.72878414,0.6642606,0.639245,0.5756481,1.05,1.05,1.07,0.9916059,0.9935299,1.0153872,0.0,-0.63415885,-0.82209873,-2.0709038,-2.6873987,-2.4570875
-0.50027806,-0.77559555,-0.6390346,0.6161493,0.62775326,0.61938155,-0.26782912,-0.4452943,-0.7603119,0.617112,0.62831366,0.6189974,1.05,1.05,1.07,0.99600947,0.9945077,1.0122108,2.465248e-09,-0.6952362,-1.0092925,-2.0180874,-2.7581987,-2.6968172
